EventID;tEnergy(keV);IonYield
0;347.191;0
1;837.47;0
2;390.325;0
3;822.055;0
4;410.238;0
5;7289.99;0
6;7516.6;1
7;1977.09;0
8;652.383;0
9;452.279;0
10;1987.28;0
11;335.16;0
12;3686.98;1
13;0;0
14;882.765;0
15;749.037;0
16;445.735;0
17;1355.1;0
18;1438.17;0
19;826.346;0
20;400.943;0
21;391.518;0
22;547.334;0
23;637.836;0
24;980.966;0
25;262.908;0
26;1043.22;0
27;168.899;0
28;451.858;0
29;3440.23;1
30;450.818;0
31;889.283;0
32;812.851;0
33;775.645;0
34;3194.67;0
35;1625.64;0
36;761.47;0
37;469.149;0
38;1065.05;0
39;2223.38;0
40;484.21;0
41;916.98;0
42;774.026;0
43;390.609;1
44;13004;2
45;312.514;0
46;1107.72;0
47;693.79;0
48;0;0
49;598.049;0
50;493.584;0
51;295.618;0
52;1205.34;0
53;730.086;0
54;476.418;0
55;0;0
56;553.398;0
57;1139.74;0
58;590.674;0
59;2819.12;1
60;8902.01;0
61;318.502;0
62;844.97;0
63;1120.95;0
64;668.409;0
65;1518.04;0
66;516.77;0
67;1121.3;0
68;390.596;0
69;625.586;0
70;329.094;0
71;351.611;0
72;772.842;0
73;1693.43;1
74;666.378;0
75;1828.54;1
76;1131.36;0
77;1284.75;0
78;884.254;0
79;13423.4;2
80;976.756;0
81;1425.64;0
82;1124.01;0
83;582.636;0
84;480.776;0
85;512.732;0
86;451.076;0
87;606.578;0
88;1058.53;0
89;10585.5;2
90;341.907;0
91;450.308;0
92;537.577;0
93;671.648;0
94;0;0
95;1662.51;1
96;355.888;0
97;634.918;0
98;1119.19;0
99;623.845;0
100;638.039;0
101;327.716;0
102;1729.24;0
103;907.93;0
104;3124.04;0
105;1521.21;0
106;85.8053;0
107;324.771;0
108;658.725;0
109;1210.73;0
110;562.77;0
111;894.483;0
112;328.032;0
113;775.188;0
114;714.011;0
115;3490.03;0
116;341.722;0
117;414.162;0
118;1251;0
119;1070.07;0
120;0;0
121;1098.83;0
122;714.655;0
123;0;0
124;1078.38;0
125;1565.82;0
126;523.589;0
127;748.034;0
128;441.179;0
129;938.21;0
130;667.707;0
131;1249.91;0
132;12568.9;4
133;296.385;0
134;130.166;0
135;3115.35;1
136;1309.3;0
137;1290.48;0
138;1194.32;0
139;518.646;0
140;548.156;0
141;99.7305;0
142;268.802;0
143;4566.02;2
144;1221.65;0
145;1792.27;1
146;1978.79;0
147;3081.44;1
148;480.162;0
149;4292.88;1
150;819.516;0
151;1461.93;0
152;814.072;0
153;4065.77;1
154;0;0
155;329.191;0
156;346.673;0
157;589.174;0
158;761.411;0
159;265.208;0
160;151.124;0
161;3889.75;0
162;2635.87;1
163;1103.78;0
164;925.554;0
165;569.627;0
166;612.532;0
167;614.439;0
168;478.881;0
169;847.346;0
170;917.54;0
171;676.601;0
172;485.405;0
173;593.869;0
174;297.648;0
175;487.755;0
176;617.717;0
177;76.6097;0
178;455.891;0
179;512.212;0
180;778.954;0
181;1007.72;0
182;0;0
183;421.104;0
184;1722.52;0
185;613.291;0
186;3195.54;1
187;436.467;0
188;1226.81;0
189;657.845;0
190;1003.89;0
191;521.205;0
192;939.916;0
193;690.011;0
194;780.951;0
195;4025.38;0
196;1847.49;1
197;1246.21;0
198;563.852;0
199;584.717;0
200;799.169;0
201;2019.23;0
202;242.335;0
203;844.303;0
204;563.818;0
205;2110.84;0
206;673.675;0
207;510.124;0
208;17756.6;3
209;436.207;0
210;191.759;0
211;342.618;0
212;283.192;0
213;609.031;0
214;2144.47;0
215;885.153;0
216;769.679;0
217;867.002;0
218;897.138;0
219;789.612;0
220;1688.87;1
221;0;0
222;721.612;0
223;650.611;0
224;933.052;0
225;0;0
226;1152.43;0
227;4644.75;0
228;542.962;0
229;795.759;0
230;447.839;0
231;258.444;0
232;1247.53;0
233;315.654;0
234;104.055;0
235;453.264;0
236;338.554;0
237;3862.59;1
238;689.469;0
239;2154.13;0
240;1782.12;1
241;899.879;0
242;235.765;0
243;670.662;0
244;1257.86;0
245;870.15;0
246;1301.24;0
247;438.16;0
248;4427.44;0
249;550.444;0
250;126.293;0
251;595.48;0
252;868.955;0
253;332.406;0
254;93.1086;0
255;8421.43;2
256;1894.16;0
257;550.384;0
258;1857.71;0
259;685.34;0
260;2076.35;1
261;1585.33;0
262;748.549;0
263;556.597;0
264;361.601;0
265;833.403;0
266;670.148;0
267;523.407;0
268;2771.8;0
269;833.648;0
270;284.554;0
271;1674.32;0
272;614.32;0
273;0;0
274;963.668;0
275;371.91;0
276;412.38;0
277;464.067;0
278;1259.01;0
279;835.074;0
280;4819.43;0
281;376.906;0
282;989.645;0
283;2045.12;1
284;644.078;0
285;5404.04;1
286;450.961;0
287;505.039;0
288;179.72;0
289;675.259;0
290;2236.96;0
291;1266.56;0
292;2439.7;1
293;485.665;0
294;633.79;0
295;1063.33;0
296;2511.05;0
297;392.537;0
298;263.72;0
299;131.447;0
300;1705.92;0
301;1999.85;0
302;413.27;0
303;596.523;0
304;431.175;0
305;722.741;0
306;481.671;0
307;867.735;0
308;655.81;0
309;553.717;0
310;632.939;0
311;929.068;0
312;9893.57;1
